name,project_type,category,subcategory,primary_stage,workflow_stages,summary_zh,summary_en,interface_candidate,review_status,evidence
skill-numerical-leak-check,skill,07,07.lookahead-leakage,evaluation,data-quality|evaluation|reporting,通过数值测试检测量化研究流程中的前视和数据泄漏。,Detects lookahead and data leakage in quantitative research workflows through numerical checks.,structured,approved,README.md|SKILL.md|references/adapter-contract.md
skill-oil-brief,skill,03,03.futures-commodity,reporting,data-ingestion|reporting,整合期货、EIA、OPEC和市场数据生成中文原油简报。,"Combines futures, EIA, OPEC, and market data into Chinese crude-oil briefs.",natural-language,approved,README.md|SKILL.md
skill-option-strategy-builder,skill,03,03.options-convertible-bond,portfolio-construction,data-ingestion|portfolio-construction|risk|reporting,构建期权策略腿组合、损益图、盈亏平衡、希腊字母和保证金分析。,"Builds option strategies with legs, payoff charts, breakevens, Greeks, and margin analysis.",structured,approved,README.md|SKILL.md|examples/sample_data/get_option_daily.json
skill-options-vol-analyst,skill,03,03.options-convertible-bond,modeling,data-ingestion|modeling|reporting,分析期权链、隐含与历史波动率、期限结构、偏度和波动率溢价。,"Analyzes option chains, implied and historical volatility, term structure, skew, and volatility premium.",natural-language,approved,README.md|SKILL.md
skill-overseas-equity-factor-miner,skill,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|factor-screening|evaluation,发现并以IC、衰减和换手率验证港美股横截面alpha因子。,"Discovers and validates HK and US cross-sectional alpha factors by IC, decay, and turnover.",natural-language,approved,README.md|SKILL.md
skill-oversold-rebound,skill,05,05.strategy-signal,factor-screening,data-ingestion|feature-engineering|factor-screening|reporting,判断A股短期超跌反弹环境并筛选候选股票。,Identifies A-share oversold-rebound conditions and screens candidate stocks.,structured,approved,README.md|SKILL.md|references/pandadata_contract.md
skill-pair-correlation,skill,06,06.statistical-ml-models,evaluation,data-ingestion|evaluation|reporting,计算和解释资产对的相关性、滚动关系及其研究用途。,"Computes and interprets asset-pair correlations, rolling relationships, and research uses.",structured,approved,README.md|SKILL.md|examples/output/pair_correlation.json
skill-pandaai-factor-online,skill,02,02.factor-pool-online,factor-generation,feature-engineering|factor-generation|factor-screening|backtesting|evaluation,支持PandaAI因子大赛环境配置、在线挖掘、批量回测和成本复盘。,"Supports PandaAI factor onboarding, online mining, batch backtests, and cost review.",structured,approved,README.md|SKILL.md|scripts/validate-qsh-form.mjs
skill-pandaai-workflow-audit,skill,07,07.workflow-audit,evaluation,data-quality|evaluation|reporting,审计PandaAI工作流的图结构、代码、时序、参数和回测验证证据。,"Audits PandaAI workflow graphs, code, timing, parameters, and backtest-validation evidence.",structured,approved,README.md|SKILL.md|scripts/audit_workflow.py
skill-pandaai-workflow-generator,skill,10,10.build-release-tooling,orchestration,orchestration,根据量化想法生成可导入PandaAI的工作流JSON及策略或因子代码。,Generates importable PandaAI workflow JSON and embedded strategy or factor code from quant ideas.,structured,approved,README.md|SKILL.md|references/templates/simple_backtest.json
skill-pandadata-api,skill,01,01.data-source-connectors,data-ingestion,data-ingestion|data-quality,为多种智能体运行时提供Pandadata市场和研究数据API调用与契约查询。,Provides Pandadata market and research API calls and contract lookup across agent runtimes.,structured,approved,README.md|SKILL.md|references/api_catalog.json
skill-pandadata-warehouse,skill,01,01.warehouse-cache,data-ingestion,data-ingestion|data-quality,管理本地Pandadata DuckDB和Parquet量化数据仓库、缓存和查询流程。,"Manages local Pandadata DuckDB and Parquet quantitative data warehouses, caches, and queries.",structured,approved,README.md|SKILL.md
skill-paper-replication,skill,06,06.paper-replication,modeling,data-ingestion|modeling|backtesting|evaluation|reporting,支持论文检索、数据提取、实验复现和研究结果报告。,"Supports paper search, data extraction, experiment reproduction, and research-result reporting.",structured,approved,README.md|SKILL.md|templates/reproduce_config.json
skill-portfolio-attribution,skill,05,05.performance-attribution,evaluation,data-ingestion|evaluation|reporting,将组合主动收益分解为行业配置、个股选择、交互效应和因子贡献。,"Attributes active portfolio returns to industry allocation, stock selection, interaction, and factor contributions.",structured,approved,README.md|SKILL.md|examples/output/attribution_report.json
skill-portfolio-checkup,skill,04,04.portfolio-stress,risk,data-ingestion|risk|reporting,汇总持仓集中度、基准偏离、估值、质量和风险暴露生成组合健康报告。,"Aggregates concentration, benchmark deviation, valuation, quality, and risk exposures into a portfolio health report.",hybrid,approved,README.md|SKILL.md|portfolio.json
skill-portfolio-liquidity-stress-test,skill,04,04.liquidity-risk,risk,data-ingestion|risk|reporting,在成交量压力下估算组合清算天数、期限内变现、赎回缺口和冲击成本。,"Estimates portfolio liquidation days, horizon cash, redemption shortfalls, and impact costs under volume stress.",structured,approved,README.md|SKILL.md|references/output-contract.md
skill-portfolio-optimize,skill,05,05.portfolio-construction,portfolio-construction,data-ingestion|modeling|portfolio-construction|backtesting|evaluation,将alpha信号转为受权重、行业、暴露和换手约束的优化组合权重。,"Turns alpha signals into optimized weights under weight, sector, exposure, and turnover constraints.",structured,approved,README.md|SKILL.md|scripts/optimize_report.py
skill-portfolio-pnl-attribution,skill,05,05.performance-attribution,evaluation,data-ingestion|evaluation|reporting,按证券和行业归因组合已实现收益，并对账费用、基准和输入质量。,"Attributes realized portfolio returns by security and sector while reconciling fees, benchmarks, and input quality.",structured,approved,README.md|SKILL.md|references/input_contract.md
skill-post-market-screener,skill,03,03.a-share-equity,factor-screening,data-ingestion|factor-screening|reporting,收盘后结合技术形态和资金流筛选 A 股股票并生成报告。,Screens A-share stocks after market close using technical patterns and capital-flow evidence.,structured,approved,README.en.md|README.md|SKILL.md
skill-qbti,skill,05,05.strategy-signal,portfolio-construction,factor-screening|portfolio-construction|backtesting|reporting,通过五部分问答将用户偏好转换为因子方向和策略参数。,Translates a five-part user questionnaire into factor directions and strategy parameters.,structured,approved,README.en.md|README.md|SKILL.md
skill-quant-execution-microstructure,skill,05,05.market-microstructure,execution,risk|monitoring|execution|reporting,将已批准的交易目标转化为可观测的成本感知执行方案。,"Converts approved trade targets into observable, cost-aware execution plans.",structured,approved,README.en.md|README.md|SKILL.md
skill-quant-factor-directional-alpha,skill,02,02.factor-generation,factor-generation,data-ingestion|factor-generation|evaluation,提供用于趋势、突破和反转研究的 OHLCV 方向因子库。,"Provides an OHLCV directional-factor library for trend, breakout, and reversal research.",natural-language,approved,README.en.md|README.md|SKILL.md
skill-quant-factor-risk-pattern-alpha,skill,02,02.factor-generation,factor-generation,data-ingestion|factor-generation|evaluation,提供用于波动、K 线形态和回撤压力研究的 OHLCV 因子库。,"Provides an OHLCV factor library for volatility, chart-pattern, and drawdown-pressure research.",natural-language,approved,README.en.md|README.md|SKILL.md
skill-quant-factor-skill-factory,skill,10,10.build-release-tooling,orchestration,data-ingestion|factor-generation|evaluation|orchestration,批量生成、验证并打包框架中立的 OHLCV 因子技能。,"Batch-generates, validates, and packages framework-neutral OHLCV factor skills.",hybrid,approved,README.en.md|README.md|SKILL.md
skill-quant-factor-volume-stat-alpha,skill,02,02.factor-generation,factor-generation,data-ingestion|factor-generation|evaluation,提供用于成交量和量价统计研究的 OHLCV 因子库。,Provides an OHLCV factor library for volume and price-volume statistical research.,natural-language,approved,README.en.md|README.md|SKILL.md
skill-quant-portfolio-risk,skill,04,04.portfolio-stress,risk,portfolio-construction|risk|reporting,分析组合风险暴露、约束和压力情景。,"Analyzes portfolio risk exposures, constraints, and stress scenarios.",structured,approved,README.md|SKILL.md
skill-quant-research,skill,06,06.experiment-reproducibility,modeling,data-ingestion|modeling|backtesting|evaluation|reporting,指导量化研究、回测设计和统计验证工作流。,"Guides quantitative research, backtest design, and statistical validation workflows.",natural-language,approved,README.md|SKILL.md
skill-quant-research-experiment-registry,skill,06,06.experiment-reproducibility,evaluation,modeling|evaluation|reporting,登记量化实验并审计其可复现性证据。,Registers quantitative experiments and audits their reproducibility evidence.,structured,approved,README.en.md|README.md|SKILL.md
skill-quant-research-replication,skill,06,06.paper-replication,modeling,data-ingestion|modeling|backtesting|evaluation|reporting,指导可审计的量化研究复现流程。,Guides auditable quantitative-research replication workflows.,natural-language,approved,README.md|SKILL.md
skill-refinancing-monitor,skill,04,04.corporate-event,monitoring,data-ingestion|monitoring|reporting,跟踪 A 股再融资生命周期、定价和稀释风险。,"Tracks A-share refinancing lifecycles, pricing, and dilution risk.",structured,approved,README.md|SKILL.md
skill-regulatory-risk-radar,skill,04,04.regulatory-compliance,monitoring,data-ingestion|risk|monitoring|reporting,汇总 A 股监管与合规风险事件并进行分级。,Aggregates and grades A-share regulatory and compliance risk events.,structured,approved,README.md|SKILL.md
skill-report-replication,skill,06,06.strategy-replication,modeling,data-ingestion|modeling|evaluation|reporting,指导将研究报告转化为可复现的分析流程。,Guides conversion of research reports into reproducible analysis workflows.,natural-language,approved,README.md|SKILL.md
skill-residual-guided-factor-selection,skill,02,02.factor-selection,factor-screening,feature-engineering|factor-screening|modeling|backtesting|evaluation,使用残差 IC 和样本外评估筛选因子组合。,Selects factor combinations using residual IC and out-of-sample evaluation.,structured,approved,README.md|SKILL.md
skill-risk-model,skill,04,04.portfolio-stress,risk,data-ingestion|modeling|risk|reporting,构建多因子风险模型并进行风险归因。,Builds a multifactor risk model and performs risk attribution.,structured,approved,README.md|SKILL.md
skill-risk-return-metrics,skill,05,05.performance-attribution,evaluation,evaluation|reporting,计算投资组合或策略的风险收益指标。,Calculates risk-return metrics for portfolios or strategies.,structured,approved,README.md|SKILL.md
skill-rolling-beta-exposure,skill,04,04.portfolio-stress,risk,data-ingestion|risk|reporting,估计资产或组合相对于基准的滚动贝塔暴露。,Estimates rolling beta exposure of assets or portfolios relative to a benchmark.,structured,approved,README.md|SKILL.md
skill-serenity-research-model,skill,06,06.investor-research-models,modeling,data-ingestion|modeling|reporting,从公开 X/Twitter 证据重建 Serenity 风格的研究逻辑。,Reconstructs Serenity-style research logic from public X/Twitter evidence.,natural-language,approved,README.en.md|README.md|SKILL.md
skill-signal-stability-audit,skill,07,07.signal-stability,evaluation,data-quality|evaluation|risk|reporting,审计量化信号跨期和跨样本的稳定性。,Audits quantitative-signal stability across time and samples.,structured,approved,README.md|SKILL.md
skill-simons-pairs-trading,skill,06,06.statistical-ml-models,modeling,data-ingestion|modeling|backtesting|evaluation|reporting,研究 A 股配对交易的协整、价差和执行约束。,"Studies A-share pairs trading with cointegration, spreads, and execution constraints.",structured,approved,README.md|SKILL.md
skill-smart-money-profiler,skill,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,分析龙虎榜席位、北向行为与资金共识或分歧。,"Analyzes LHB seats, northbound activity, and capital-flow consensus or divergence.",structured,approved,README.md|SKILL.md
skill-ssquant-ai-trader,skill,05,05.paper-live-execution,execution,modeling|portfolio-construction|backtesting|risk|execution|reporting,组织 SSQuant 策略研究、模拟交易和运行检查。,"Orchestrates SSQuant strategy research, paper trading, and runtime checks.",hybrid,approved,README.md|SKILL.md
skill-ssquant-trader-generator,skill,10,10.build-release-tooling,orchestration,execution|orchestration,将自然语言交易想法转换为可复用的 Trader Skill，并委托模拟部署流程。,Turns natural-language trading ideas into a reusable Trader Skill and delegates simulated deployment.,hybrid,approved,README.md|SKILL.md
skill-statistical-arbitrage-time-series,skill,06,06.statistical-ml-models,modeling,data-ingestion|modeling|backtesting|evaluation|reporting,构建统计套利时间序列研究并生成可追溯报告。,Builds statistical-arbitrage time-series research and produces traceable reports.,structured,approved,README.en.md|README.md|SKILL.md
skill-stock-memory-analyzer-usa,skill,03,03.hk-us-equity,reporting,data-ingestion|modeling|reporting,对美国存储芯片股票开展多维度研究分析。,Performs multidimensional research analysis of US memory-chip stocks.,hybrid,approved,README.md|SKILL.md
skill-stock-screener,skill,03,03.a-share-equity,factor-screening,data-ingestion|factor-screening|reporting,依据自然语言筛选条件和 Pandadata 证据筛选 A 股股票。,Screens A-share stocks from natural-language criteria and Pandadata evidence.,structured,approved,README.md|SKILL.md
skill-strategy-tearsheet-report,skill,05,05.performance-attribution,reporting,evaluation|risk|reporting,生成包含风险调整指标的策略绩效 tearsheet。,Generates strategy-performance tearsheets with risk-adjusted metrics.,structured,approved,README.md|SKILL.md
skill-survivorship-universe-auditor,skill,07,07.survivorship-bias,data-quality,data-ingestion|data-quality|evaluation|reporting,审计回测前的点时证券池成员、标识和退市收益数据。,"Audits point-in-time universe membership, identities, and delisting returns before backtests.",structured,approved,README.en.md|README.md|SKILL.md
skill-template,skill,10,10.skill-template,orchestration,orchestration,提供 QuantSkills 技能项目的模板结构和说明。,Provides a template structure and instructions for QuantSkills skill projects.,not-applicable,approved,README.md|SKILL.md
skill-time-series-analysis,skill,06,06.statistical-ml-models,modeling,data-ingestion|modeling|evaluation|reporting,对金融时间序列进行诊断并生成分析报告。,Diagnoses financial time series and produces analysis reports.,structured,approved,README.en.md|README.md|SKILL.md
skill-transaction-cost-analysis,skill,05,05.transaction-costs,evaluation,data-ingestion|evaluation|reporting,将成交记录相对 VWAP/TWAP 分解为多类交易成本。,Decomposes fills against VWAP/TWAP into transaction-cost components.,structured,approved,README.en.md|README.md|SKILL.md
skill-transaction-cost-calibration,skill,05,05.transaction-costs,evaluation,data-ingestion|evaluation|reporting,从成交和市场数据校准佣金、价差、滑点与冲击成本假设。,"Calibrates commission, spread, slippage, and market-impact assumptions from execution and market data.",structured,approved,README.en.md|README.md|SKILL.md
skill-us-sec-edgar-harvester,skill,01,01.data-source-connectors,data-ingestion,data-ingestion|data-quality|reporting,采集并结构化美国 SEC EDGAR 公开申报文件。,Harvests and structures public US SEC EDGAR filings.,structured,approved,README.en.md|README.md|SKILL.md
skill-us-sector-rotation,skill,03,03.hk-us-equity,reporting,data-ingestion|evaluation|reporting,生成美国行业表现、估值和轮动的事实性报告。,"Generates factual reports on US sector performance, valuation, and rotation.",structured,approved,README.en.md|README.md|SKILL.md
skill-walk-forward-validator,skill,07,07.walk-forward-oos,evaluation,data-quality|evaluation|reporting,用净化和隔离的滚动窗口验证截面信号的样本外表现。,Validates cross-sectional signals out of sample with purged and embargoed rolling windows.,structured,approved,README.en.md|README.md|SKILL.md
skill-x-trader-builder,skill,06,06.investor-research-models,orchestration,data-ingestion|modeling|evaluation|reporting|orchestration,从公开 X/Twitter 帖子数据构建交易者专属研究模型技能。,Builds trader-specific research-model skills from public X/Twitter post data.,structured,approved,README.en.md|README.md|SKILL.md
skill-xingtai-catcher,skill,03,03.futures-commodity,factor-screening,data-ingestion|factor-screening|reporting,根据文字或图像描述检索相似的 A 股和期货 K 线形态。,Retrieves similar A-share and futures K-line patterns from text or image descriptions.,hybrid,approved,README.md|SKILL.md
